,professional_id,equipment
610,1526,เครื่องดูดฝุ่น
611,1677,เครื่องดูดฝุ่น
612,1667,เครื่องดูดฝุ่น
613,1630,เครื่องดูดฝุ่น
614,1432,เครื่องดูดฝุ่น
615,1613,เครื่องดูดฝุ่น
616,1676,เครื่องดูดฝุ่น
617,740,เครื่องดูดฝุ่น
618,1691,เครื่องดูดฝุ่น
619,1685,เครื่องดูดฝุ่น
620,1666,เครื่องดูดฝุ่น
621,732,เครื่องดูดฝุ่น
622,1708,เครื่องดูดฝุ่น
623,1700,เครื่องดูดฝุ่น
624,1716,เครื่องดูดฝุ่น
625,1692,เครื่องดูดฝุ่น
626,1453,เครื่องดูดฝุ่น
627,1720,เครื่องดูดฝุ่น
628,1714,เครื่องดูดฝุ่น
629,1704,เครื่องดูดฝุ่น
630,1682,เครื่องดูดฝุ่น
631,369,เครื่องดูดฝุ่น
632,1718,เครื่องดูดฝุ่น
633,1675,เครื่องดูดฝุ่น
634,1702,เครื่องดูดฝุ่น
635,1653,เครื่องดูดฝุ่น
636,1713,เครื่องดูดฝุ่น
637,1679,เครื่องดูดฝุ่น
638,1217,เครื่องดูดฝุ่น
639,1447,เครื่องดูดฝุ่น
640,1735,เครื่องดูดฝุ่น
641,1715,เครื่องดูดฝุ่น
642,1703,เครื่องดูดฝุ่น
643,1723,เครื่องดูดฝุ่น
644,1744,เครื่องดูดฝุ่น
645,1727,เครื่องดูดฝุ่น
646,1712,เครื่องดูดฝุ่น
647,1722,เครื่องดูดฝุ่น
648,1762,เครื่องดูดฝุ่น
649,1767,เครื่องดูดฝุ่น
650,1766,เครื่องดูดฝุ่น
651,1774,เครื่องดูดฝุ่น
652,1787,เครื่องดูดฝุ่น
653,1777,เครื่องดูดฝุ่น
654,1746,เครื่องดูดฝุ่น
655,1771,เครื่องดูดฝุ่น
656,1709,เครื่องดูดฝุ่น
657,1753,เครื่องดูดฝุ่น
658,1736,เครื่องดูดฝุ่น
659,1717,เครื่องดูดฝุ่น
660,1734,เครื่องดูดฝุ่น
661,1721,เครื่องดูดฝุ่น
662,1785,เครื่องดูดฝุ่น
663,1625,เครื่องดูดฝุ่น
664,1541,เครื่องดูดฝุ่น
665,1772,เครื่องดูดฝุ่น
666,1754,เครื่องดูดฝุ่น
667,1775,เครื่องดูดฝุ่น
668,1792,เครื่องดูดฝุ่น
669,1543,เครื่องดูดฝุ่น
670,1790,เครื่องดูดฝุ่น
671,1780,เครื่องดูดฝุ่น
672,1750,เครื่องดูดฝุ่น
673,1791,เครื่องดูดฝุ่น
674,1808,เครื่องดูดฝุ่น
675,1809,เครื่องดูดฝุ่น
676,1761,เครื่องดูดฝุ่น
677,1773,เครื่องดูดฝุ่น
678,1831,เครื่องดูดฝุ่น
679,1757,เครื่องดูดฝุ่น
680,1557,เครื่องดูดฝุ่น
681,1838,เครื่องดูดฝุ่น
682,1836,เครื่องดูดฝุ่น
683,1835,เครื่องดูดฝุ่น
684,1821,เครื่องดูดฝุ่น
685,1840,เครื่องดูดฝุ่น
686,1816,เครื่องดูดฝุ่น
687,1828,เครื่องดูดฝุ่น
688,1827,เครื่องดูดฝุ่น
689,1783,เครื่องดูดฝุ่น
690,1652,เครื่องดูดฝุ่น
691,1806,เครื่องดูดฝุ่น
692,1807,เครื่องดูดฝุ่น
693,1826,เครื่องดูดฝุ่น
694,1849,เครื่องดูดฝุ่น
695,1749,เครื่องดูดฝุ่น
696,1859,เครื่องดูดฝุ่น
697,1812,เครื่องดูดฝุ่น
698,1842,เครื่องดูดฝุ่น
699,1823,เครื่องดูดฝุ่น
700,1841,เครื่องดูดฝุ่น
701,1863,เครื่องดูดฝุ่น
702,1844,เครื่องดูดฝุ่น
703,1844,เครื่องดูดฝุ่น
704,1854,เครื่องดูดฝุ่น
705,1837,เครื่องดูดฝุ่น
706,1683,เครื่องดูดฝุ่น
707,1544,เครื่องดูดฝุ่น
708,1853,เครื่องดูดฝุ่น
709,1880,เครื่องดูดฝุ่น
710,1881,เครื่องดูดฝุ่น
711,1724,เครื่องดูดฝุ่น
712,1869,เครื่องดูดฝุ่น
713,1024,เครื่องดูดฝุ่น
