,professional_id,decline_pet
826,9201,แมว
827,9201,สัตว์เลื้อยคลาน
828,9201,สัตว์มีขน
829,9219,แมว
830,9219,สัตว์เลื้อยคลาน
831,9219,สัตว์มีขน
832,9194,สัตว์เลื้อยคลาน
833,9194,สุนัข
834,8724,สุนัข
835,8724,แมว
836,8724,สัตว์เลื้อยคลาน
837,8724,สัตว์มีขน
838,2559,สุนัข
839,9208,สัตว์เลื้อยคลาน
840,9221,สุนัข
841,9221,แมว
842,9221,สัตว์เลื้อยคลาน
843,9224,สุนัข
844,9224,แมว
845,9224,สัตว์เลื้อยคลาน
846,9224,สัตว์มีขน
847,8961,แมว
848,8961,สุนัข
849,9195,สุนัข
850,9195,แมว
851,9195,สัตว์เลื้อยคลาน
852,9195,สัตว์มีขน
853,8930,สัตว์เลื้อยคลาน
854,8741,สัตว์เลื้อยคลาน
855,9132,สัตว์เลื้อยคลาน
856,9226,สัตว์เลื้อยคลาน
857,9226,สุนัข
858,9226,สัตว์มีขน
859,9216,สัตว์เลื้อยคลาน
860,4292,สัตว์เลื้อยคลาน
861,9183,สัตว์เลื้อยคลาน
862,9183,สุนัข
863,9189,สัตว์เลื้อยคลาน
864,9234,สุนัข
